position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,min,max
1,COUNTRY,Country:,float64,2406,0,1,"{""7"": ""Iraq"", ""8"": ""Jordan"", ""9"": ""Kuwait"", ""10"": ""Lebanon"", ""12"": ""Mauritania"", ""13"": ""Morocco"", ""15"": ""Palestine"", ""21"": ""Tunisia""}",21.0,21.0
2,WT,,float64,2406,0,575,,0.442207008600235,4.001606464385986
3,DATE,RECORD TODAY’S DATE,str,2406,0,53,,,
4,STRATUM,,float64,2406,0,24,,210001.0,210024.0
5,PSU,PSU. Enter PSU,float64,2406,0,300,,210001001001001.0,210024003001001.0
6,BLOCK_ID,BLOCK_ID. Enter block ID,str,2406,0,299,,,
7,ID,_id,float64,2406,0,2406,,2100001.0,2102406.0
8,Q1A_PAL,,float64,0,2406,0,"{""1"": ""West Bank"", ""2"": ""Gaza""}",,
9,Q1,Q1.,float64,2406,0,24,"{""70001"": ""Baghdad"", ""70002"": ""Salahaddin"", ""70003"": ""Diyala"", ""70004"": ""Wasit"", ""70005"": ""Maysan"", ""70006"": ""Basra"", ""70007"": ""Dhi Qar"", ""70008"": ""Muthana"", ""70009"": ""Qadisiyah"", ""70010"": ""Babylon"", ""70011"": ""Karbala"", ""70012"": ""Najaf"", ""70013"": ""Anbar"", ""70014"": ""Nineveh"", ""70016"": ""Erbil"", ""70017"": ""Kirkuk"", ""70018"": ""Sulaymaniyah"", ""80011"": ""Amman"", ""80012"": ""Al Balqa"", ""80013"": ""Azurqa"", ""80014"": ""Madaba"", ""80021"": ""Irbid"", ""80022"": ""Al Mafraq"", ""80023"": ""Jerash"", ""80024"": ""Ajloun"", ""80031"": ""Karak"", ""80032"": ""Tafila"", ""80033"": ""Ma’an"", ""80034"": ""Aqaba"", ""90001"": ""Al Asimah"", ""90002"": ""Ahmadi"", ""90003"": ""Farwaniya"", ""90004"": ""Jahra"", ""90005"": ""Hawalli"", ""90006"": ""Mubarak Al-Kabeer"", ""100001"": ""Akkar"", ""100002"": ""Baalbek-El Hermel"", ""100003"": ""Beirut"", ""100004"": ""Bekaa"", ""100005"": ""El Nabatiyeh"", ""100006"": ""Mount Lebanon"", ""100007"": ""North"", ""100008"": ""South"", ""120001"": ""Adrar"", ""120002"": ""Assaba"", ""120003"": ""Brakna"", ""120004"": ""Dakhlett Nouadibou"", ""120005"": ""Gorgol"", ""120006"": ""Guidimagha"", ""120007"": ""Hodh Charghy"", ""120008"": ""Hodh Gharby"", ""120009"": ""Inchiri"", ""120010"": ""Nouakchott"", ""120013"": ""Tagant"", ""120014"": ""Tirs-ezemour"", ""120015"": ""Trarza"", ""130001"": ""Tanger-Tetouan-Al Hoceima"", ""130002"": ""Oriental"", ""130003"": ""Fes-Meknes"", ""130004"": ""Rabat-Sale-Kenitra"", ""130005"": ""Beni Mellal-Khenifra"", ""130006"": ""Grand Casablanca-Settat"", ""130007"": ""Marrakech-Safi"", ""130008"": ""Draa-Tafilalet"", ""130009"": ""Souss-Massa"", ""130010"": ""Guelmim-Oued Noun"", ""130011"": ""Laayoune-Sakia El Hamra"", ""130012"": ""Eddakhla-Oued Eddahab"", ""150001"": ""Bethlehem"", ""150002"": ""Deir al Balah"", ""150003"": ""Gaza"", ""150004"": ""Hebron"", ""150005"": ""Jabalia"", ""150006"": ""Jerusalem"", ""150007"": ""Jenin"", ""150008"": ""Jerico"", ""150009"": ""Khan Yunis"", ""150010"": ""Nabulus"", ""150011"": ""Qalqilya"", ""150012"": ""Rafah"", ""150013"": ""Ramallah"", ""150014"": ""Salfit"", ""150015"": ""Tubas"", ""150016"": ""Tulkarem"", ""210001"": ""Tunis"", ""210002"": ""Ariana"", ""210003"": ""Ben Arous"", ""210004"": ""Manouba"", ""210005"": ""Nabeul"", ""210006"": ""Zaghouan"", ""210007"": ""Bizerte"", ""210008"": ""Beja"", ""210009"": ""Jendouba"", ""210010"": ""Kef"", ""210011"": ""Siliana"", ""210012"": ""Sousse"", ""210013"": ""Monastir"", ""210014"": ""Mahdia"", ""210015"": ""Sfax"", ""210016"": ""Kairouan"", ""210017"": ""Kasserine"", ""210018"": ""Sidi Bouzid"", ""210019"": ""Gabes"", ""210020"": ""Medenine"", ""210021"": ""Tatouine"", ""210022"": ""Gafsa"", ""210023"": ""Tozeur"", ""210024"": ""Kebili""}",210001.0,210024.0
10,Q13,Q13 Urban/Rural,float64,2406,0,2,"{""1"": ""Urban"", ""2"": ""Rural"", ""3"": ""Camp""}",1.0,2.0
