position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,min,max
11,QLEB2_5,,str,0,1005,0,,,,
12,QLEB2_6,,str,0,1005,0,,,,
13,QLEB3_1,QLEB3.1. Did the Beirut port explosion cause you to:Lose your home,float64,0,1005,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
14,QLEB3_2,QLEB3.2. Did the Beirut port explosion cause you to:Lose your job or source of i,float64,0,1005,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
15,QLEB3_3,QLEB3.3. Did the Beirut port explosion cause you to:The death of family members,float64,0,1005,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
16,QLEB4_1,"QLEB4.1. After the Beirut port explosion, did you:Volunteer in street-cleaning e",float64,0,1005,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
17,QLEB4_2,"QLEB4.2. After the Beirut port explosion, did you:Donate money to organizations",float64,0,1005,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
18,QLEB4_3,"QLEB4.3. After the Beirut port explosion, did you:Participate in a protest deman",float64,0,1005,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
19,QLEB5,QLEB5. Who should conduct the investigation into the explosion and determine its,float64,0,1005,0,"{""1"": ""Independent international experts"", ""2"": ""Lebanese parties"", ""3"": ""Lebanese Army"", ""5"": ""FBI"", ""97"": ""the investigation is useless"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
20,QLEB6,"QLEB6. In your opinion, is it preferable for the system of governance in Lebanon",float64,0,1005,0,"{""1"": ""A sectarian system like it is now"", ""2"": ""A civil / secular system"", ""3"": ""A sectarian federal system"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
21,QLEB7,QLEB7. Would you be comfortable with authority positions that have historically,float64,0,1005,0,"{""1"": ""Yes"", ""2"": ""No"", ""3"": ""Maybe"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
22,QLEB8,,str,0,1005,0,,,,
23,Q2061A,Q2061a. What is the most important challenge facing [COUNTRY] today?,float64,1005,0,9,"{""1"": ""Economic situation"", ""2"": ""Corruption"", ""6"": ""Instability"", ""7"": ""Foreign interference"", ""12"": ""Public services"", ""15"": ""COVID-19"", ""16"": ""Other"", ""17"": ""Beirut port explosion"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
24,Q1COVID19,"Q1COVID19. In general, to what extent are you concerned that the coronavirus wil",float64,1005,0,6,"{""1"": ""Very concerned"", ""2"": ""Somewhat concerned"", ""3"": ""Somewhat not concerned"", ""4"": ""Not at all concerned"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
25,Q2ACOVID19,Q2ACOVID19. You said you were very or somewhat concerned about the coronavirus c,float64,616,389,8,"{""1"": ""Family member illness or death"", ""2"": ""Loss of household income"", ""3"": ""Negative impact on economy"", ""4"": ""Healthcare system can't handle"", ""5"": ""Inadequate gov.'t response"", ""6"": ""Citizens not following recommendations"", ""7"": ""Other"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
26,Q2BCOVID19,Q2BCOVID19. You said you were somewhat not concerned or not at all concerned abo,float64,382,623,8,"{""1"": ""Threat exaggerated"", ""2"": ""No loss of household income"", ""3"": ""No negative impact on economy"", ""4"": ""Healthcare system can handle"", ""5"": ""Adequate gov.'t response"", ""6"": ""Citizens following recommendations"", ""7"": ""Other"", ""96"": ""COVID not biggest priority for Lebanon"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,98.0
27,Q4COVID19_1,Q4COVID19_1.Visited family that lives in a different house,float64,1005,0,2,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,2.0
28,Q4COVID19_2,Q4COVID19_2.Volunteered to help others,float64,1005,0,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
29,Q4COVID19_3,Q4COVID19_3.Practiced social distancing,float64,1005,0,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
30,Q4COVID19_4,Q4COVID19_4.Worn a facemask in public,float64,1005,0,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,98.0
31,Q5COVID19,"Q5COVID19. If you were employed before the spread of the coronavirus, did it cau",float64,1005,0,7,"{""1"": ""Permanent loss"", ""2"": ""Temporary interruption"", ""3"": ""Work from home"", ""4"": ""No effect"", ""96"": ""Permanent or temporary loss due to Beirut port explosion"", ""97"": ""Not applicable"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
32,Q10COVID19_1,Q10COVID19_1.Frequency of prayer/ How often you have prayed,float64,1005,0,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
33,Q10COVID19_2,Q10COVID19_2.Family unity,float64,1005,0,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
34,Q10COVID19_3,Q10COVID19_3.Verbal arguments between your family members,float64,1005,0,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
35,Q10COVID19_4,Q10COVID19_4.Physical arguments between your family members,float64,1005,0,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
36,Q10COVID19_5,Q10COVID19_5.Abuse of or violence against women in the community,float64,1005,0,5,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,98.0
37,Q11COVID19,Q11COVID19. How negative of an impact do you believe the outbreak of the coronav,float64,1005,0,6,"{""1"": ""Extremely negative"", ""2"": ""Moderately negative"", ""3"": ""Slightly negative"", ""4"": ""No negative impact at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
38,Q204_25,Q204_25. How would you evaluate the current government’s performance on respondi,float64,1005,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""97"": ""This is not the government’s responsibility"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
39,Q6COVID19,Q6COVID19. How much do you trust do you have in the statistics on the number of,float64,1005,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
40,Q8COVID19_2,Q8COVID19_1.To limit freedom of speech,float64,1005,0,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
41,Q8COVID19_3,Q8COVID19_2.To limit freedom of movement,float64,1005,0,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
42,Q8COVID19_4,Q8COVID19_3.To censor the media,float64,1005,0,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
43,Q8COVID19_5,Q8COVID19_4.To monitor and trace citizens’ location and movement,float64,1005,0,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
44,Q101,Q101. How would you evaluate the current economic situation in your country?,float64,1005,0,6,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
45,Q118,"Q118 In your opinion, which of the following is the most important issue the gov",float64,1005,0,8,"{""1"": ""Create more job opportunities"", ""2"": ""Raise wages for existing jobs"", ""3"": ""Lower the cost of living (limiting inflation)"", ""4"": ""Reform the education system"", ""5"": ""Encouraging foreign investment"", ""6"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
46,Q111,"Q111 In the next 12 months, how concerned are you that your family might lose it",float64,1005,0,6,"{""1"": ""Very concerned"", ""2"": ""Somewhat concerned"", ""3"": ""A little concerned"", ""4"": ""Not at all concerned"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
47,QJOR1,"In your opinion, to what extent will the reactivation of compulsory military ser",float64,0,1005,0,"{""1"": ""Great Extent"", ""2"": ""Some extent"", ""3"": ""Small extent"", ""4"": ""has no relation"", ""98"": ""Dont know"", ""99"": ""refused to answer""}",,,
48,Q201A_1,Q201a_1.Government (Council of Ministers),float64,1005,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
49,Q201A_6A_LIB,Q201a_6A_LIB. Government of National Accord,float64,0,1005,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
50,Q201A_6B_LIB,Q201a_6B_LIB. House of Representatives,float64,0,1005,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
51,Q201A_2,Q201a_2.Courts and legal system,float64,1005,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
52,Q201B_6,Q201b_6. The armed forces (the army),float64,1005,0,5,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,98.0
53,Q201B_13,Q201b_13. Religious leaders,float64,1005,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
54,Q201C_38,Q201c_38. Private banks,float64,0,1005,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
55,Q201C_38B,Q201c_38b. Central bank,float64,0,1005,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,
56,Q204A_3,Q204a_3. The government's performance overall,float64,1005,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
57,Q204A_2,Q204a_2. The healthcare system in our country,float64,1005,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
58,Q204A_1,Q204a_1. The education system in our country,float64,1005,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
59,Q516A,Q516a. I am interested in how you think about the core values underlying any soc,float64,1005,0,5,"{""1"": ""For people like me, it doesn't matter what kind of government we have"", ""2"": ""Under some circumstances, a non-democratic government can be preferable"", ""3"": ""Democracy is always preferable to any other kind of government"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
60,Q210,Q210. To what extent do you think that there is corruption within the national s,float64,1005,0,6,"{""1"": ""To a large extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
61,Q211,"Q211. In your opinion, to what extent is the national government working to crac",float64,968,37,5,"{""1"": ""To a large extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,98.0
62,Q409,"Q409.On average, how often do you use the Internet",float64,1005,0,8,"{""1"": ""Throughout the day"", ""2"": ""At least once daily"", ""3"": ""Several times a week"", ""4"": ""Once a week"", ""5"": ""Less than once a week"", ""6"": ""I do not use the Internet"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
63,Q421,Q421 What is your primary source of information to follow the breaking news as e,float64,1005,0,8,"{""1"": ""Face to face conversations"", ""2"": ""Phone conversations"", ""3"": ""Newspapers"", ""4"": ""Radio"", ""5"": ""TV"", ""6"": ""Social media"", ""7"": ""Other"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,98.0
64,Q521_1,Q521_1.Freedom to express opinions,float64,1005,0,6,"{""1"": ""Guaranteed to a great extent"", ""2"": ""Guaranteed to a medium extent"", ""3"": ""Guaranteed to a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer""}",,1.0,99.0
65,Q521_2,Q521_2.Freedom of the media to criticize the things government does,float64,1005,0,6,"{""1"": ""Guaranteed to a great extent"", ""2"": ""Guaranteed to a medium extent"", ""3"": ""Guaranteed to a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer""}",,1.0,99.0
66,Q609,"Q609. In general, would you describe yourself as religious, somewhat religious,",float64,1005,0,5,"{""1"": ""Religious"", ""2"": ""Somewhat religious"", ""3"": ""Not religious"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
67,Q601_3,"Q601_3.In general, men are better at political leadership than women.",float64,1005,0,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
68,Q601_4,Q601_4.University education for males is more important than university educatio,float64,1005,0,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
69,Q601_18,Q601_18.A man should have final say in all decisions concerning the family.,float64,1005,0,4,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,4.0
70,Q700B_1,Favorability: United States,float64,1005,0,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
71,Q700B_2,Favorability: Saudi Arabia,float64,1005,0,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
72,Q700B_3,Favorability: Iran,float64,1005,0,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
73,Q700B_13,Favorability: China,float64,1005,0,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
74,Q725_1,Foreign policy evaluation of American President Joseph Biden,float64,1005,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
75,Q725_4,Foreign policy evaluation of Chinese President Xi Jinping,float64,1005,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
76,Q725_5,Foreign policy evaluation of Iranian Supreme Leader Ali Khameni,float64,1005,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
77,Q725_6,Foreign policy evaluation of Saudi Prince Mohammed bin Salman,float64,1005,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
78,Q7141A,Q7141a. What country poses the greatest threat to stability in your country?,float64,1005,0,15,"{""1"": ""There is no country that poses a threat"", ""2"": ""The United States"", ""3"": ""The United Kingdom"", ""4"": ""Israel"", ""5"": ""Iran"", ""6"": ""Turkey"", ""7"": ""The European Union"", ""8"": ""Saudi Arabia"", ""9"": ""The United Arab Emirates"", ""10"": ""Syria"", ""11"": ""Russia"", ""12"": ""Libya"", ""13"": ""Yemen"", ""14"": ""Qatar"", ""15"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
79,Q728_1,Threat to national security: The development of Chinese economic power,float64,1005,0,5,"{""1"": ""Critical"", ""2"": ""Important but not critical"", ""3"": ""Not important"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
80,Q728_2,Threat to national security: The development of American economic power,float64,1005,0,5,"{""1"": ""Critical"", ""2"": ""Important but not critical"", ""3"": ""Not important"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
81,Q728_3,Threat to national security: COVID-19,float64,1005,0,5,"{""1"": ""Critical"", ""2"": ""Important but not critical"", ""3"": ""Not important"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
82,Q727_5,Infrastrucutre contract: Which country would you prefer to get the contract?,float64,1005,0,8,"{""1"": ""United States"", ""2"": ""Germany"", ""3"": ""China"", ""4"": ""Turkey"", ""5"": ""France"", ""6"": ""Italy"", ""7"": ""United Kingdom"", ""97"": ""None of these countries"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
83,Q733,"Q733 Whose policies do you think will be better for the region, Donald Trump or",float64,0,1005,0,"{""1"": ""Trump"", ""2"": ""Biden"", ""96"": ""Both equally bad"", ""97"": ""Both equally good"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,,
84,Q1003,Q1003. What is your highest level of education?,float64,1005,0,9,"{""1"": ""No formal education"", ""2"": ""Elementary"", ""3"": ""Preparatory/Basic"", ""4"": ""Secondary"", ""5"": ""Mid-level diploma/professional or technical"", ""6"": ""BA"", ""7"": ""MA and above"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
85,Q1010,Q1010. What is your current social status?,float64,1005,0,8,"{""1"": ""Single/ Bachelor"", ""2"": ""Living with a partner"", ""3"": ""Engaged"", ""4"": ""Married"", ""5"": ""Divorced"", ""6"": ""Separated"", ""7"": ""Widowed"", ""99"": ""Refused to answer""}",,1.0,99.0
86,Q1010B1,Q1010b1. Do you have children?,float64,694,311,2,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,2.0
87,Q1014C,Q1014c. What is the total number of people who live in this household?,float64,1005,0,18,"{""99"": ""Refused""}",,1.0,99999.0
88,Q1005,Q1005. Are you…,float64,1005,0,8,"{""1"": ""Employed"", ""2"": ""Self-Employed"", ""3"": ""Retired"", ""4"": ""A housewife"", ""5"": ""A student"", ""6"": ""Unemployed or looking for work"", ""7"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0
89,Q1005B,Q1005b. You said you were retired. Do you receive a pension?,float64,91,914,2,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,2.0
90,Q1006A,Q1006a. And what sector do you work in? Do you work in the…,float64,491,514,3,"{""1"": ""public sector"", ""2"": ""private sector"", ""3"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,3.0
